能力ID,类型,触发器,冷却,参数名1,参数1,参数名2,参数2,参数名3,参数3,持续时间,名字,描述,所属流派,稀有度,可选次数,武器通用能力,是否基础能力,是否进图鉴,是否正常投放
8055,passive,,,arrowAlwaysRight,1,,,,,,神之右手,子弹永久向右发射,1305,3,1,,,,
,,,,,,,,,,,,,,,,,,,
8060,buff,parry,0,invincibleBuff,5,self,,,,,无敌弹反,弹反后无敌5回合,1306,3,,TRUE,,,
8061,passive,,,playerRushDis,1,,,,,,超级突进,突进距离+1,1306,3,,,,,
8062,passive,,,canParrySide,1,,,,,,灵活盾反,可以从侧面弹反敌人,1306,3,1,TRUE,,,
8063,passive,,,playerParryDamage,2,playerParryVertigoTime,2,,,,超级盾反,盾反额外造成2倍伤害，眩晕回合+2,1306,3,,TRUE,,,
8064,passive,,,rushMoreRush,1,,,,,,横冲直撞,突进之后必定再次突击1次,1306,3,,,,,
8065,passive,,,backNoDmg,1,,,,,,屁股盾,免疫来自背面的任何伤害,1306,3,1,TRUE,,,
,,,,,,,,,,,,,,,,,,,
8070,passive,,,behindAtk,2,,,,,,背刺大师,背刺伤害倍率+200%,1307,3,,,,,
8071,passive,,,hideBehindAtkAdd,10,,,,,,潜行大师,20回合不攻击，下次背刺伤害倍率+1000%,1307,3,,,,,
8072,passive,,,atkSpeedAdd,-0.3,,,,,,连击大师,攻速+30%（这是回合制游戏吗？）,1307,3,,TRUE,,,
8073,buff,dodge,0,atkBuff,2,self,,,,,闪避大师,闪避后，下次伤害+200%,1307,3,,TRUE,,,
8074,passive,,,dodgeFlashBack,1,,,,,,绕后大师,闪避后瞬移到目标背后,1307,3,1,,,,
8075,passive,,,addBackRange,1,,,,,,侧翼偷袭,侧面也算背面,1307,3,1,,,,
,,,,,,,,,,,,,,,,,,,
8090,passive,,,killBossAddBody,1,,,,,,精英猎杀,击败boss后+1节身体,1309,3,,,,,
8091,spawn,atk,20,spawnBody,209,,1,temporary,,,血盆大口,攻击20次临时+1节身体,1309,3,,,,,
8092,passive,,,playerBodyScale,1,playerBodyAtk,-2,ChangeBodyScale_ONCE,,,大胖蛇,身体大小+1，伤害-2,1309,3,1,,,,
8093,passive,,,playerBodyAtkAdd,3,,,,,,蛇之身躯,在身体里，头的攻击力+3,1309,3,,,,,
8094,spawn,isOnce,,spawnBody,209,,3,,,,备用身躯,立即获得3节身体,1309,3,,,,,
8095,passive,,,playerBodyTileAtk,5,,,,,,彩虹鱼尾,鱼尾的伤害+5,1309,3,,,,,
,,,,,,,,,,,,,,,,,,,
8100,passive,,,cherry4Range,1,,,,,,禁忌4连,第4式范围+1,1310,3,1,,,,
8101,passive,,,cherryStrikeDis,99,,,,,,突刺斩,第3式的可突刺距离+99,1310,3,1,,,,
8102,passive,,,cherryComboNotStop,1,,,,,,无尽连斩,连斩招式不会因为移动而中断,1310,3,1,,,,
8103,passive,,,cherryComboBlood,1,,,,,,血之突刺,第3式吸取敌人1血,1310,3,,,,,
8104,passive,,,cherryComboDamage,3,,,,,,血之诅咒,低于10血时，连斩每斩伤害+3,1310,3,,,,,
,,,,,,,,,,,,,,,,,,,
8080,passive,,,scytheDis,1,,,,,,死亡扩张,挥斩范围+1,1308,3,,,,,
8081,passive,,,scytheTime,1,,,,,,二连斩,挥斩次数+1,1308,3,,,,,
8082,other,activeSkill,,scytheRepeat,1,,,,,,暗影斩,闪现后，重复上次挥斩,1308,3,,,,,
8083,passive,,,deadCureRate,1,,,,,,鲜血收割,敌人死亡25%概率血量+1,1308,3,,TRUE,,,
8084,passive,,,scytheCross,1,,,,,,十字镰刀,额外斩击十字区域,1308,3,1,,,,
,,,,,,,,,,,,,,,,,,,
8110,other,activeSkill,,moneyAtk,1,,,,,,躺赢,按道具键自动丢出金币,1311,3,1,,,,
8111,passive,,,moneyAtkNum,1,,,,,,金子雨,攻击时多1个消耗金币，多打击1个敌人,1311,3,,,,,
8112,passive,,,money10AtkAdd,1,,,,,,钞能力,每有10金币，金币伤害+1,1311,3,,,,,
8113,passive,,,moneyLimitMaxAdd,99,AddMoneyNum_ONCE,20,,,,魔王私房钱,立即获得20金币，金币上限+99,1311,3,,TRUE,,,
8114,passive,,,moneyGetAtkup,1,,,,,,纪念币,获得金币后，伤害+1,1311,3,,TRUE,,,
8115,passive,,,moneyCanFu,1,ChangeDefence,2,,,,赊账狂徒,受到伤害翻倍，金币允许为负数,1311,3,1,TRUE,,,
,,,,,,,,,,,,,,,,,,,
8120,passive,,,hummerAtkTime,1,,,,,,连续火腿,火腿多砸1次后再进入后摇,1312,3,,,,,
8121,passive,,,hummerRange,1,,,,,,大大火腿,火腿棒砸地范围+1,1312,3,,,,,
8122,passive,,,hummerNoDull,1,,,,,,节奏火腿,顺时针攻击，就不会进入后摇,1312,3,1,,,,
8123,passive,,,hummerRush,2,,,,,,借力翻滚,后摇结束时翻滚2格,1312,3,,,,,
8124,spawn,atk,3,spawnUnit,812,,1,,,,裂地猛击,砸地落下滚石,1312,3,,,,,
,,,,,,,,,,,,,,,,,,,
8130,passive,,,demonSwordRange,1,,,,,,自动索敌,魔神剑索敌范围+1，有框你不打吗？,1313,3,,,,,
8131,passive,,,demonSwordWithFire,1,,,,,,火之高兴,闪现攻击带燃烧,1313,3,1,,,,
,,,,,,,,,,,,,,,,,,,
8133,passive,,,demonSwordFlashBack,1,,,,,,无影斩,魔神剑会闪到敌人身后攻击,1313,3,1,,,,
8134,passive,,,demonSwordMustFlash,1,,,,,,一方通行,即便没有空位也会强行闪现过去,1313,3,1,,,,
8135,passive,,,demonSwordAtkSpawnBullet,1,,,,,,魔神剑气,闪现攻击召唤1个魔神剑气,1313,3,,,,,
,,,,,,,,,,,,,,,,,,,
8150,passive,,,avatarNum,1,,,,,,木偶军团,木偶数量+1,1315,3,,,,FALSE,
8151,passive,,,avatarAtkAdd,3,AddAtk,-1,,,,提线木偶,攻击力-1，木偶攻击+2,1315,3,,,,FALSE,
8152,passive,,,avatarHpCure,5,,,,,,自我修复,木偶吸血+5,1315,3,,,,FALSE,
8153,passive,,,avatarDeadInstead,1,,,,,,亦真亦幻,死亡时，以半血在木偶处复活,1315,3,1,,,FALSE,
,,,,,,,,,,,,,,,,,,,
8160,passive,,,whipCoolDown,-1,,,,,,疯狂触手,触手攻击间隔-1,1316,3,2,,,FALSE,
8161,passive,,,whipAtkNum,1,AddAtk,-1,,,,触手多多,触手+1，攻击力-1,1316,3,,,,FALSE,
8162,passive,,,whipAtkDis,2,,,,,,我的领域,触手索敌距离+2,1316,3,,,,FALSE,
8163,other,move,100,timeStop,10,,,,,,凝视深渊,移动100步后时停10回合,1316,3,,TRUE,,FALSE,
,,,,,,,,,,,,,,,,,,,
8170,passive,,,dragonScale,1,dragonAtkAdd,-1,ChangeDragonScale_ONCE,,,大胖龙,龙宝宝体型+1，攻击力-1,1317,3,,,,FALSE,
8171,passive,,,dragonAutoDmg,1,,,,,,龙之威压,龙宝宝自动对重合的单位造成伤害,1317,3,,,,FALSE,
8172,passive,,,dragonAtkRange,1,,,,,,伸缩骨,龙宝宝攻击距离+1,1317,3,,,,FALSE,
8173,passive,,,dragonAtkAdd,3,AddAtk,-1,,,,相信着你,龙宝宝攻击力+3，玩家攻击力-1,1317,3,,,,FALSE,
,,,,,,,,,,,,,,,,,,,
8180,passive,,,spiderPushAtk,1,,,,,,蜘蛛践踏,跳跃时击退敌人,1318,3,1,,,FALSE,
8181,passive,,,spiderMoveMore,1,,,,,,长腿蜘蛛,每跳跃2次，额外跳跃1格,1318,3,,,,FALSE,
8182,passive,,,spiderBigAtk,1,,,,,,蓄力大跳,每跳跃6次，进行1次大范围跳跃攻击,1318,3,,,,FALSE,
8183,passive,,,spiderHurtBack,10,,,,,,抱脸虫,受伤时对脚下敌人造成10倍等额伤害,1318,3,,,,FALSE,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
6000,spawnBomb,isOnce,,,5,,5,,,,炸弹花束,扔出5个炸弹,1501,8,,,,,
6001,buff,isOnce,,burnBuff,,nearBy,4,selfAlso,,,燃烧瓶,燃烧周围单位,1501,8,,,,,
6002,buff,isOnce,,invincibleBuff,8,self,,,,,无敌泡泡,无敌8回合,1501,8,,,,,
6003,changeCamp,isOnce,,friend,3,OcarinaOfTime,,,,,魅惑笛,附近单位转为友军,1501,8,,,,,
6004,spawn,isOnce,,spawnResource,202,,5,,,,一袋苹果,扔出5个苹果,1501,8,,,,,
6005,other,isOnce,,timeStop,12,,,,,,砸瓦鲁多,时间停止12回合,1501,8,,,,,
6006,other,isOnce,,timeBack,15,,,,,,败者食尘,将自己金币位置血量变为15回合之前,1501,8,,,,,
6007,other,isOnce,,moveToMe,10,,,,,,战斗号角,集结周围单位,1501,8,,,,,
6008,spawnBat,isOnce,,,8,,,,,,蝙蝠包,向前射出8发蝙蝠,1501,8,,,,,
6009,spawn,isOnce,,spawnShruiken,,,10,,,,暗器卷轴,扔出10个手里剑,1501,8,,,,,
6010,buff,isOnce,,freezeBuff,,nearBy,4,,,,冰冻花,冰冻周围单位,1501,8,,,,,
6011,other,isOnce,,bloodRadius,10,,,,,,吸血猫,吸食周围所有鲜血,1501,8,,,,,FALSE
6012,spawn,isOnce,,spawnUnit,21,,1,,,,小眼球,召唤1只眼球怪伙伴,1501,8,,,,,
6013,spawn,isOnce,,spawnResourceCopy,,,,,,,丰收,复制当前房间的资源,1501,8,,,,,
6014,other,isOnce,,atkUpThisRoom,1,,,,,,仪式羽毛,本房间内攻击力+1,1501,8,,,,,
6015,passive,isOnce,,AddHpMax_ONCE,1,,,,,,神奇胶囊,+1血上限,1501,8,,,,,
6016,other,isOnce,,canFlyThisRoom,,,,,,,临时翅膀,在本房间获得飞行能力,1501,8,,,,,
6017,other,isOnce,,changeEnemyToUnit,1,,203,,,,金手指,将相邻单位变成金币,1501,8,,,,,
6018,spawn,isOnce,,spawnRandomResource,,,4,,,,烤鸭,从某些死去的鸭子上搜出资源,1501,8,,,,,
6019,spawn,isOnce,,spawnUnit,831,,1,,,,便携炮台,召唤1个史莱姆炮台,1501,8,,,,,
6020,passive,isOnce,,EatDabian,10,,,,,,巧克力？,可能-10血或+10血，不尝不知道,1501,8,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
7001,ability,isOnce,,changeAbilityRoomType,,Bomb,,,,only1Ch,炸弹实验,本章内：所有能力房间都是炸弹房间,1401,3,,,,,
7002,ability,isOnce,,changeAbilityRoomType,,Event,,,,only1Ch,混乱实验,本章内：所有能力房间都是问号房间,1401,3,,,,,
7003,passive,,,enemyNumRate,2,enemyHPRate,-0.5,,,only1Ch,弱小实验,本章内：小怪血量大幅减少，数量大幅增加,1401,3,,,,,
7004,passive,,,trapNumRate,40,,,,,only1Ch,陷阱实验,本章内：刷出陷阱的概率+4000%,1401,3,,,,,
7005,passive,,,changeMoneyToHp,1,,,,,only1Ch,血币实验,本章内：所有“金币”都改为“血量”,1401,3,,,,,
7006,passive,,,enemyHPRateFront3,1,,,,,only1Ch,速度实验,本章内：前3场战斗敌人血量为1,1401,3,,,,,
7007,passive,,,AddAtk,1,,,,,only1Ch,力量实验,本章内：攻击力+1,1401,3,,,,,
7008,passive,isOnce,,AddHpMax,10,AddHP,-20,,,only1Ch,空心实验,血量上限+10，血量-20,1401,3,,,,,
7009,spawn,isOnce,,spawnProp,,,3,,,only1Ch,道具实验,获得3个道具,1401,3,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
7100,passive,,,DropSkill_ONCE,3,AddMoneyNum_ONCE,20,,,,回收,随机丢掉3个能力，金币+20,1298,3,,,,,
7101,passive,,,ChangeAllSkill_ONCE,,,,,,,绽放,将所有能力替换为1个随机能力,1298,3,,,,,
7102,passive,,,CopySkill_ONCE,5,AddAtk,-2,,,,恩典,随机复制1个能力5次，攻击力-2,1298,3,,,,,
7103,passive,,,ChangeAllSkillToOther_ONCE,,,,,,,制衡,丢弃所有能力，替换成同稀有度的能力,1298,3,,,,,
7104,passive,,,DropRandomSkill_ONCE,4,,,,,,保护,丢掉1~4个能力，血量上限+5~20,1298,3,,,,,
7105,passive,,,DropSkill_ONCE,6,AddAtk,2,,,,舍,随机弃掉6个能力，攻击力+2,1298,3,,,,,
7106,passive,,,CopySkill_ONCE,1,,,,,,得,随机复制1个能力,1298,3,,,,,
,,,,,,,,,,,,,,,,,,,
7200,spawnBomb,lightningOnHit,,,1,,0,,,,天降雷霆,闪电击中敌人后留下炸弹,12001202,4,,,,,
7201,passive,,,batBurn,1,,,,,,湮灭蝙蝠,所有蝙蝠带燃烧,12011204,4,,,,,
7202,passive,,,invincibleAllFriend,1,,,,,,圣光庇护,当你无敌时，所有队友也无敌,12031208,4,,,,,
7203,other,propUse,,getAllShriken,,,,,,,手里剑来,使用道具立即收集场上所有手里剑,12051206,4,,,,,
7204,passive,,,friendNumMax,5,friendHPmaxAdd,3,friendAtkAdd,1,,大军集结,友军上限+5，攻击力+1，血量+3,12031210,4,,,,,
7205,passive,,,friendHurtByBomb,1,,,,,,炸弹军团,友军被炸弹炸到会回血，且攻击力+1,12001203,4,,,,,
7206,spawnLightning,batDead,,,1,,,,,,闪电蝙蝠,蝙蝠死亡留下闪电,12011202,4,,,,,
7207,passive,,,lightningGetShruiken,3,,,,,,导电暗器,闪电劈中手里剑会收集3份,12021205,4,,,,,
7208,spawnBat,bombOver,,,,,,,,,蝙蝠炸弹,炸弹爆炸召唤蝙蝠,12001201,4,,,,,
7209,passive,,,burnDeadSpawnApple,1,,,,,,熟熟果实,树被烧毁概率掉落苹果,12041207,4,,,,,
7210,spawnBomb,atkOnTree,,,1,,5,,,,炸弹树,攻击树木扔出炸弹,12001207,4,,,,,
7211,passive,,,friendBurnCure,1,,,,,,燃烧军团,友军燃烧改为加血,12031204,4,,,,,
7212,spawnBat,friendDead,,shoot8,,,,,,,寄生蝙蝠,友军死亡召唤8向蝙蝠,12011203,4,,,,,
7213,spawnBat,activeSkill,,,,,,,,,蝙蝠机关枪,按道具键发射蝙蝠,12011206,4,,,,,
7214,passive,,,shurikenAtkFriend,1,,,,,,爱的鞭策,手里剑现在可以攻击友军，每发为其攻击+1,12031205,4,,,,,
,,,,,,,,,,,,,,,,,,,
7300,other,levelStart,,addShield,2,,,,,,连胜护甲,每关获得2点护甲,1297,2,,,,FALSE,
7301,other,isOnce,,addShield,20,,,,,,超大护甲,获得20护甲,1297,2,,,,FALSE,
7302,other,isOnce,,addShield,0,changeHP,,,,,血之护甲,把当前血量全部转化为护甲,1297,2,,,,FALSE,
7303,other,hurt,,addShield,5,,,,,,复仇护甲,受伤时获得5护甲,1297,2,,,,FALSE,
7304,other,isOnce,,addShield,5,atkup,,,,,愤怒护甲,获得5护甲，拥有护甲时，攻击力+1,1297,2,,,,FALSE,
7305,other,isOnce,,addShield,0,changeMoney,,,,,金色护甲,把当前金币全部转化为护甲,1297,2,,,,FALSE,
7306,other,levelStart,,addShield,5,addTo,,,,,魔法护甲,每关开始补充到5护甲,1297,2,,,,FALSE,
,,,,,,,,,,,,,,,,,,,
5000,passive,,,,,,,,,,魔王贴纸,无效果,,7,,,,,
5001,passive,,,firstMustMofei,1,,,,,,墨菲贴纸,开局必定遇见铁匠,,7,,,,,
5002,passive,,,soulStartBuff,0.3,,,,,,露露贴纸,灵魂获得加成30%,,7,,,,,
5003,passive,,,playerStartMoneySticker,15,,,,,,金头贴纸,开局金币+15,,7,,,,,
5004,passive,,,playerAutoDodge,0.2,,,,,,小白贴纸,20%概率自动闪避敌人攻击,,7,,,,,
5005,passive,,,playerDmgAddToEnemy,1,,,,,,黑龙贴纸,对小怪伤害+1,,7,,,,,
5006,passive,,,mustMeetGoldness,1,,,,,,女神贴纸,章节末必定遇见女神房间,,7,,,,,
5007,spawn,atk,2,spawnDemonFireFullHP,,,,,,,魔神贴纸,攻击2次发射魔神剑气,,7,,,,,
5008,passive,,,randomNotDead,1,,,,,,勇者贴纸,死亡时，50%概率直接复活,,7,,,,,
,,,,,,,,,,,,,,,,,,,
1300,Weapon_Default,onInputDir,,,,,,,,,空手,空手天下无敌,,3,,,,FALSE,
1301,Weapon_Strike,onInputDir,,,,,,,,,极电千鸟,攻击带闪现,,3,,,,FALSE,
1302,Weapon_Laser,onInputDir,,,,,,,,,眼球激光炮,远程攻击敌人，带后坐力,,3,,,,FALSE,
1303,Weapon_Punch,onInputDir,,,-1,,,,,,骷髅拳刺,二连击,,3,,,,FALSE,
1304,Weapon_Sword,onInputDir,,,1,,,,,,兰斯洛特,蓄力大剑,,3,,,,FALSE,
1305,Weapon_Crossbow,onInputDir,,,-1,,,,,,诸神连弩,边走边突突,,3,,,,FALSE,
1306,Weapon_Shield,onInputDir,,,,,,,,,钻石盾,突进与反击,,3,,,,FALSE,
1307,Weapon_Knife,onInputDir,,,-1,,,,,,暗影匕首,快速背刺敌人,,3,,,,FALSE,
1308,Weapon_Scythe,onInputDir,,,,,,,,,死神镰刀,收割一行灵魂，按道具键闪现,,3,,,,FALSE,
1309,Weapon_Yuwave,onInputDir,,,,,,,,,鱼尾化身,化身鱼尾坦,,3,,,,FALSE,
1310,Weapon_Bloodblade,onInputDir,,,,,,,,,血之刃,四连血斩,,3,,,,FALSE,
1311,Weapon_Default,onInputDir,,,-1,,,,,,黄金头颅,用钱砸死敌人,,3,,,,FALSE,
1312,Weapon_Hotdog,onInputDir,,,3,,,,,,火腿棒,重击大火腿,,3,,,,FALSE,
1313,Weapon_Demonlord,onInputDir,,,,,,,,,魔神剑,自动闪现索敌，免疫魔神剑气,,3,,,,FALSE,
1314,Weapon_Default,onInputDir,,,,,,,,,最初幻想,对武器的幻想化为了现实,,3,,,,FALSE,
1315,Weapon_Default,onInputDir,,,,,,,,,木偶魔王,召唤木偶分身,,3,,,,FALSE,FALSE
1316,Weapon_Whip,onInputDir,,,-2,,,,,,深渊触手,深渊会为你出手,,3,,,,FALSE,FALSE
1317,Weapon_Huge,onInputDir,,,,,,,,,骨龙宝宝,冲呀！龙宝！,,3,,,,FALSE,FALSE
1318,Weapon_Spider,onInputDir,,,,,,,,,蜘蛛魔王,我想去哪就去哪,,3,,,,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1501,passive,,,SetHPMaxOne,1,AddAtk,4,,,,傲慢挑战,血量最多为1，攻击力+4,,3,,,,,
1502,passive,,,unitActionMore,3,AddAtk,1,,,,怠惰挑战,攻击力+1，但敌人1回合多动,,3,,,,,
1503,passive,levelStart,,EatSkillAndPull,2,,,,,,暴食挑战,每关吃掉2个能力，吐出2个能力,,3,,,,,
1504,passive,,,treasureAllGet,1,moreBoss,1,,,,贪婪挑战,宝箱奖励全拿，但同时面对2只BOSS,,3,,,,,
1505,passive,,,hpReduceBySecond,1,hpAddByUnitDead,5,,,,愤怒挑战,血量每秒-1，每当单位死亡+5,,3,,,,,
1506,passive,,,allLuLu,1,AddAtk,1,RefreshNPCSprite,1,,色欲挑战,满眼都是露露，攻击力+1,,3,,,,,
1507,passive,,,getAbilityCopy,1,,,,,,嫉妒挑战,获得能力时复制5份，并丢弃其他能力,,3,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,spawn,onBorn,,spawnStoneUnit,807,,8,,,,封印石召唤小弟,,,,,,,,
2,spawn,onBorn,,spawnSpiderNest,5,,4,,,,蜘蛛女王召唤4个蜘蛛巢,,,,,,,,
3,spawn,onBorn,,spawnBallUnit,48,,8,,,,召唤铁球,,,,,,,,
4,other,onBorn,,setLattice,3,,,,,,把地图设置为不可通行,,,,,,,,
5,spawn,onBorn,,spawnUnit,850,,1,selfPos,,,炸弹猫场景多加1个砖块,,,,,,,,
6,spawn,onBorn,,spawnCatBomb,850,,15,,,,炸弹猫放炸弹,,,,,,,,
7,selfUnit,onBorn,,ShowNum,,,,,,,展示扫雷数字,,,,,,,,
8,other,onBorn,,StartDialogue,,,,,,,黑龙女皇用,雪山第1次和黑龙女皇战斗,,,,,,,
9,selfUnit,onBorn,,ChangeThroneSprite,,,,,,,改变王座1410的图片,,,,,,,,
10,selfUnit,onBorn,,SetSprite,,,,,,,幸运猎人1126开局睡觉,sleep,,,,,,,
11,passive,onBorn,,SpawnEnvironment,10,,,,,,千年树精37开场召唤场景小物体,,,,,,,,
12,spawnBomb,onBorn,,unActive,10,,1,,,,炸弹猫971传送门召唤未激活炸弹,,,,,,,,
13,other,onBorn,,yelling,,,,,,,哈气,,,,,,,,
14,other,onBorn,,getRandomSprite,,,,,,,55up随机获得1个表情,,,,,,,,
15,selfUnit,onBorn,,ChangeGrass,,,,,,,1436草改变自己的形象和方向,,,,,,,,
16,selfUnit,onBorn,,SetSprite,,,,,,,1103史莱姆,sad,,,,,,,
17,selfUnit,onBorn,,SetSprite,,,,,,,1105露露,dead,,,,,,,
18,selfUnit,onBorn,,GetHurtWord,,,,,,,告示牌805随机取1句话,,,,,,,,
19,spawn,firstTurn,,spawnSelf,,,1,,,,开局分裂,,,,,,,,
20,selfUnit,turn,,ShowNearCatBombNum,,,,,,,851展示附近炸弹数量,,,,,,,,
21,spawn,turn,,spawnDanmu,238,,3,,,,54/56召唤弹幕,,,,,,,,
22,selfUnit,turn,,SafeRoomAutoDead,,,,,,,安全的时候自动自杀,,,,,,,,
23,selfUnit,turn,,SkipActionIFNoUnit,33,,,,,,没有火腿骑士就暂停行动,,,,,,,,
24,selfUnit,turn,,TakeDamageBySelf,-999,,,,,,商人回血,,,,,,,,
25,selfUnit,turn,,GrowBigger,,,,,,,小雪球16变大,,,,,,,,
26,spawn,firstTurn,,spawnTreasure,803,,1,,,,史莱姆王1103开局送宝箱,,,,,,,,
27,selfUnit,turn,,ShowSelfByBox,802,,,,,,周围被id围住就现身,,,,,,,,
28,other,atkOnUnit,,lightning,,,,,,,触发闪电的效果,,,,,,,,
29,selfUnit,onBorn,,ShowLightningEffect,,,,,,,开局召唤闪电视觉效果,,,,,,,,
30,selfUnit,hurt,,HandleJump,1,,,,,,小鸡被打跳起来并且害怕,,,,,,,,
31,spawn,hurtByPlayer,,spawnDemonFire,,,1,,,,35魔神火被打召唤子弹,,,,,,,,
32,selfUnit,hurt,,SetSprite,,,,,,,被打变表情,hurt,,,,,,,
33,selfUnit,,,atkByFire,1,,,,,,攻击带火,,,,,,,,
34,buff,atkOnUnit,,freezeBuff,,,,,,,攻击带冰,,,,,,,,
35,spawnBat,hurt,,self,,,,,,,被打召唤蝙蝠830用,,,,,,,,
36,other,hurt,,spawnBullet,232,,,,,,被打召唤魔神火846魔神树,,,,,,,,
37,other,hurt,,addMoveForce,,,,,,,被打获得动量46/47/48,,,,,,,,
38,other,hurtAbout0,,autoParry,,,,,,,全自动弹反1106,,,,,,,,
39,buff,onBorn,,invincibleBuff,50,,,,,,魔神剑开局无敌,,,,,,,,
40,other,hurt,,inRock,,,,,,,被打进入滚石状态,,,,,,,,
41,spawn,hurt,,spawnResource,203,,1,,,,受伤掉1金币,,,,,,,,
42,selfUnit,hurtByPlayer,,EVEButtonPress,1,,,,,,下注按钮841,,,,,,,,
43,selfUnit,hurtByPlayer,,EVEButtonPress,2,,,,,,下注按钮842,,,,,,,,
44,selfUnit,hurtByPlayer,,PlaySound,,,,,,,阿拉,talk_gamer,,,,,,,
45,selfUnit,hurtByPlayer,,PlaySound,,,,,,,汪汪,talk_dog,,,,,,,
46,selfUnit,hurtByPlayer,,SetSprite,,,,,,,幸运猎人,happy,,,,,,,
47,other,hurtByPlayer,,donate,1,,,,,,捐款1109,,,,,,,,
48,selfUnit,hurtByPlayer,,ShowMofeiSticker,,,,,,,853贴纸展示墨菲收集进度,,,,,,,,
49,other,hurtByPlayer,,catChange,1,,,,,,小猫换钱,,,,,,,,
50,selfUnit,hurtByPlayer,,GetSoulByMoney,10,,,,,,金币换灵魂835,,,,,,,,
51,selfUnit,hurtByPlayer,,ChangeLuckyHunterCard,,,,,,,被打切换卡片,,,,,,,,
52,selfUnit,hurtByPlayer,,ShowBookRoad,,,,,,,978展示七宗罪挑战进度,,,,,,,,
53,selfUnit,hurtByPlayer,,ShowGoldSkullRoad,,,,,,,1121展示金骷髅进度,,,,,,,,
54,selfUnit,firstTurn,,ShowSoulPrice,200,,,,,,848展示灵魂价格,,,,,,,,
55,selfUnit,turn,,ShowPlayPrice,,,,,,,829展示抽奖价格,,,,,,,,
56,other,onDead,,demonExplode,1,,,,,,魔神232火爆炸,,,,,,,,
57,selfUnit,atkOnUnit,,HandleBulletBound,,,,,,,子弹撞到单位反弹,,,,,,,,
58,other,atkOnUnit,,getFireByFire,,,,,,,子弹经过火自己也着火,,,,,,,,
59,emoji,onOverLap,,happy,3,,,,,,天使表情,,,,,,,,
60,emoji,onOverLap,,demon,1,,,,,,恶魔表情,,,,,,,,
61,emoji,onOverLap,,sad,,,,,,,哭表情,,,,,,,,
62,emoji,onOverLap,,freeze,,,,,,,冰冻表情,,,,,,,,
63,buff,onGroundOverLap,,burnBuff,,,,,,,踩中着火,,,,,,,,
64,showUI,onDead,,showLuLuUI,,,,,,,死亡打开露露UI,,,,,,,,
65,showUI,onDead,,showLuckyUI,,,,,,,死亡打开幸运UI,,,,,,,,
66,showUI,onDead,,showDogUI,,,,,,,死亡打开小狗UI,,,,,,,,
67,other,onDead,,openSoulBox,200,,,,,,死亡打开灵魂宝箱,,,,,,,,
68,showUI,onDead,,showMirrorUI,,,,,,,死亡打开难度界面,,,,,,,,
69,showUI,onDead,,showBookUI,,,,,,,死亡打开图鉴界面,,,,,,,,
70,other,onDead,,catBomb,10,,,,,,扫雷效果,10指的是无敌10回合,,,,,,,
71,other,onDead,,setLattice,0,,,,,,死亡可通行,,,,,,,,
72,other,onDead,,gameButton,,,,,,,抽奖按钮,,,,,,,,
73,other,onDead,,unlockWeapon,1312,,,,,,解锁火腿棒,,,,,,,,
74,other,onDead,,bloodGodnessDead,1310,,,,,,解锁血之刃,,,,,,,,
75,other,onDead,,refreshLevel,,,,,,,刷新关卡,,,,,,,,
76,spawn,onDead,,spawnDragon,,,,,,,死亡召唤龙,,,,,,,,
77,spawn,onDead,,spawnChicken,30,,13,,,,死亡召唤小鸡,,,,,,,,
78,other,onDead,,checkLastChicken,9969,,,,,,死亡小鸡奖励,,,,,,,,
79,spawn,onDead,,spawnResource,203,,1,selfPos,,,死亡掉1金币,,,,,,,,
80,spawn,onDead,,spawnUnit,990,,1,selfPos,,,死亡召唤商人门,,,,,,,,
81,spawn,onDead,,spawnUnit,975,,1,selfPos,,,死亡召唤史莱姆门,,,,,,,,
82,other,onDead,,checkCaiHuaDead,66,,7101,,,,菜花大于x个召唤能力,,,,,,,,
83,spawn,onDead,,spawnUnit,6,,1,selfPos,,,死亡召唤精英兵,,,,,,,,
84,spawn,onDead,,spawnRandomResource,,,1,,,,死亡召唤随机资源,,,,,,,,
85,other,onDead,,resetSightRange,,,,,,,死亡重设视野,,,,,,,,
86,other,onDead,,996Reborn,,,,,,,木偶复活,,,,,,,,
87,spawn,onDead,,spawnSecretMoney,210,,50,,,,私房钱,,,,,,,,
88,spawn,onDead,,spawnTreeMan,,,,,,,死亡概率召唤树人,,,,,,,,
89,spawn,onDead,,spawnSecretTree,0.01,,1,,0,,概率召唤树精/苹果/炸弹,,,,,,,,
90,spawn,onDead,,spawnUnit,821,,1,selfPos,,,死亡召唤冰面,,,,,,,,
91,spawn,onDead,,spawnUnit,231,,1,selfPos,,,死亡召唤冰史,,,,,,,,
92,spawn,onDead,,spawnResource,210,,50,,,,死亡召唤大量魂,,,,,,,,
93,spawn,onDead,,spawnSplit,105,,3,,,,死亡召唤中胖,,,,,,,,
